price,bed,bath,description,address,address_g,meters_car,meters_transit,seconds_car,seconds_transit,laundry,type,availability,size,nonsmoking,parking,link,latitude,longitude
$1010,2,1,Catch Those Savings!,107th St at Good Hope Rd Milwaukee WI US,"10165-10549 W Fountain Ave, Milwaukee, WI 53224, USA",1680,1680,138,1240,,,available sep 23,0,False,,/apa/5236049773.html,43.157015,-88.040292
$895,2,1,"2 Br, Lake Dr. Eastside HEAT/AC Incl! 1/2 OFF 1st Month - Now/Oct 1st",North Ave at Summit Ave Milwaukee WI US,"2288 N Summit Ave, Milwaukee, WI 53202, USA",25345,23597,1704,5351,,,available oct 01,1100ft2,False,,/apa/5221359889.html,43.059952,-87.881913
$950,2,2,"Two bedroom, two bath with garage-no deposit",,"N58W24011 Clover Dr, Sussex, WI 53089, USA",,,,,,,available sep 01,0,False,,/apa/5213638064.html,43.124765,-88.224469
$675,2,1,Two bedrooms with garage-No Deposit,River West Bend WI US,"929 N River Rd, West Bend, WI 53090, USA",42335,84897,1665,8536,,,available sep 19,0,False,,/apa/5228264829.html,43.433951,-88.161358
$675,2,1,Two Bedroom with Garage-No Deposit,River West Bend WI US,"929 N River Rd, West Bend, WI 53090, USA",42335,84897,1665,8536,,,available oct 01,0,False,,/apa/5225212235.html,43.433951,-88.161358
$550,2,1,2 Bedroom Apt.,,"1201-1211 N 31st St, Milwaukee, WI 53208, USA",16728,20322,1373,4909,,,available apr 07,600ft2,False,,/apa/5236009904.html,43.045913,-87.952486
$650,2,1,2 Bedroom Apartment,,,,,,,,,available sep 23,0,False,,/apa/5235993886.html,0,0
$600,2,1,"6230 S. Packard Ave-Nice 2 BR, 2nd Floor Apt-Cudahy",6230 S Packard Avenue Cudahy WI US,"6242 S Packard Ave, Cudahy, WI 53110, USA",41756,36907,1970,7646,,,available sep 15,900ft2,False,,/apa/5199749465.html,42.931059,-87.860754
$815,2,2,The Brittany Parkside-1 & 2 Bedroom Apartments,2565 S Calhoun Rd New Berlin WI US,"2550-2598 S Calhoun Rd, New Berlin, WI 53151, USA",27252,40061,1363,7632,,,available aug 01,0,False,,/apa/5199765968.html,42.997615,-88.127846
$705,3,1,4011 W Morgan 3BD/1BA Available November,,"2322 W Halsey Ave, Milwaukee, WI 53221, USA",32604,30303,1519,6232,,,available nov 15,900ft2,False,,/apa/5206342401.html,42.9549,-87.9447
$660,2,1,Nice 2 BR 2nd Floor Apartment,,"3946 S Howell Ave, Milwaukee, WI 53207, USA",,,,,,,available oct 15,800ft2,False,,/apa/5210458774.html,42.972706,-87.909186
$765,2,1,"Tosa - 2nd Fl, 2 BR Clean Apartment",6433 W North Avenue Wauwatosa WI US,"6410 W North Ave, Wauwatosa, WI 53213, USA",,,,,,,available sep 05,0,False,,/apa/5199753024.html,43.060812,-87.992511
$945,2,2.5,"2 BR, 2.5 Bath Townhouse @ Sunset Ridge Apts",4305 W Howard Avenue Milwaukee WI US,"4301 W Howard Ave, Greenfield, WI 53220, USA",,,,,,,available oct 15,1000ft2,False,,/apa/5227992795.html,42.97382,-87.96845
$725,2,1,"River Heights-2 Bedroom, 1 Baths, 2nd Fl Apt. in West Allis",11229 W National Avenue West Allis WI US,"11135 W National Ave, West Allis, WI 53227, USA",21581,25847,1081,6193,,,available oct 15,600ft2,False,,/apa/5198886626.html,42.990664,-88.05145
$995,2,1,English Woods 2BD/1BA Upper w/ Huge Den Available Nov 1,6418 W Layton Greenfield WI US,"6420 W English Meadows Dr, Greenfield, WI 53220, USA",27530,29887,1315,7295,,,available nov 01,0,False,,/apa/5190084822.html,42.959658,-87.994094
$1010,2,1,Pet Friendly Community!,107th St at Good Hope Rd Milwaukee WI US,"10165-10549 W Fountain Ave, Milwaukee, WI 53224, USA",1680,1680,138,1240,,,available sep 23,0,False,,/apa/5235989559.html,43.15714,-88.040314
$550,2,1,2 Bedroom Apt.,W Juneau Ave at N 31st St Milwaukee WI US,"1201-1211 N 31st St, Milwaukee, WI 53208, USA",16769,20281,1375,4876,,,available jul 01,600ft2,False,,/apa/5235986632.html,43.045913,-87.952486
$650,3,1,3 Bedroom Apt.,S 10th St at W Burnham Ave Milwaukee WI US,"1929A S 10th St, Milwaukee, WI 53204, USA",29115,27254,1523,6232,,,available aug 01,0,False,,/apa/5235985893.html,43.009762,-87.924206
$850,2,1,2 Bedroom Apt. Great Washington Heights Location!!!,N 52nd St at W Llyod Ave Milwaukee WI US,"2107 N 52nd St, Milwaukee, WI 53208, USA",,,,,,,available oct 01,1100ft2,False,,/apa/5205911669.html,43.057212,-87.978786
$715,2,1,BROWN DEER area ~ ONE month rent free!,W Bradley Road at North 67th Street Milwaukee WI US,"6619-6623 W Bradley Rd, Milwaukee, WI 53223, USA",,,,,,,available oct 01,1000ft2,False,,/apa/5228012663.html,43.162853,-87.992592
$715,2,1,Northwest Milwaukee ~ 2 BR Bradley Road,Bradley Road at N 67th Street Milwaukee WI US,"6619 W Bradley Rd, Milwaukee, WI 53223, USA",,,,,,,available oct 01,1100ft2,False,,/apa/5228088449.html,43.162963,-87.992446
$650,2,1,Remodeled 2bd 1bath w/hardwood floors,7159 W Appleton Ave Milwaukee WI US,"4844 W Scranton Pl, Milwaukee, WI 53216, USA",11022,14625,775,3477,,,available oct 01,775ft2,False,,/apa/5235935795.html,43.0859,-87.9742
$1065,3,2,3BR/2BA Apartment in a Modern Community!,,"2000 W Kilbourn Ave, Milwaukee, WI 53233, USA",17133,21198,1431,4604,,,available sep 23,1450ft2,False,,/apa/5235955709.html,43.042087,-87.939434
$695,2,1,"Spacious 2BD 1Bath, New Flooring in Kitchen and Living Room",3533 76th St at Nash St Milwaukee WI US,"3515 N 76th St, Milwaukee, WI 53222, USA",10756,13047,771,3518,,,available oct 01,800ft2,False,,/apa/5223003100.html,43.082994,-88.007612
$695,2,1,"2BD 1BATH W/HEAT, HW Included Near Mayfair, Butler & Falls",,,,,,,,,available oct 01,800ft2,False,,/apa/5188750242.html,0,0
$785,2,1,"Lakeridge,Muskego, large upper 2 BR",W169 Muskego WI US,"S76W16891 Gregory Dr, Muskego, WI 53150, USA",37354,53248,1642,8663,,,available nov 01,1000ft2,False,,/apa/5235951977.html,42.906604,-88.126016
$695,2,1,"Remodeled 2BD Includes Heat, Gas, HW, etc",10055 Appleton Ave Milwaukee WI US,"10001 W Appleton Ave, Milwaukee, WI 53225, USA",4903,5776,417,2815,,,available oct 01,900ft2,False,,/apa/5202659724.html,43.120533,-88.037481
$1010,2,1,Open Concept Two Bedroom One Bath!,107th St at Good Hope Rd Milwaukee WI US,"10165-10549 W Fountain Ave, Milwaukee, WI 53224, USA",,,,,,,available sep 23,0,False,,/apa/5235940581.html,43.157015,-88.040292
$1100,3,1,UWM AREA-UPPER FLAT,Cramer at Greenwich Milwaukee WI US,"1612 E Providence Ave, Milwaukee, WI 53211, USA",,,,,,,available aug 01,1100ft2,False,,/apa/5214831693.html,43.082,-87.8895
$875,3,1,****3 BEDROOM 1 BATH LOWER DUPLEX,,,,,,,,,available sep 25,0,False,,/apa/5195928168.html,0,0
$595,2,1,2 Bedroom unit available now.,91st St at Silver Spring Milwaukee WI US,"4801-4811 N 91st St, Milwaukee, WI 53225, USA",,,,,,,available sep 23,500ft2,False,,/apa/5235875832.html,43.105244,-88.026152
$595,2,1,Burnham Park Neighborhood Rental Available Now!,1964 S 30th St Milwaukee WI US,"1961 S 30th St, Milwaukee, WI 53215, USA",25829,24317,1490,5178,,,available sep 01,0,False,,/apa/5235874711.html,43.009104,-87.951785
$875,3,1,Renta Duplex,,,,,,,,,available sep 21,0,False,,/apa/5200816592.html,0,0
$700,2,1,APT. FOR RENT,Oxford Dr Hartland WI US,"816-898 Imperial Ct, Hartland, WI 53029, USA",34295,65800,1977,8669,,,available jul 01,900ft2,False,,/apa/5235859380.html,43.092048,-88.331684
$1050,2,1,Spacious two bed in Hartland - Arrowhead School District,4835 Easy St 7 Hartland WI US,"Arrow Head Campus Dr, Hartland, WI 53029, USA",35654,65183,1881,8253,,,available sep 23,1160ft2,False,,/apa/5235854131.html,43.1172,-88.3446
$750,2,1,Great 2 Bedroom Available,2305 w howard milwaukee WI US,"2235 W Howard Ave, Milwaukee, WI 53221, USA",32761,28256,1516,5811,,,available sep 03,0,False,,/apa/5205394360.html,42.973815,-87.943645
$1090,2,2,Spacious 2 bed/2 Condo for rent,1338 Hillwood Blvd Pewaukee WI US,"1338 Hillwood Blvd, Pewaukee, WI 53072, USA",24284,58302,1456,8530,,,available oct 01,1200ft2,False,,/apa/5235794569.html,43.087084,-88.236372
$699,2,1.5,"Lease rates you'll love, Amenities you deserve! Indoor pool/free Heat",graceland Blvd at Ohio St Mount Pleasant WI US,"4919 Graceland Blvd, Mt Pleasant, WI 53406, USA",,,,,,,available nov 06,925ft2,False,,/apa/5232235985.html,42.725961,-87.839307
$750,2,1,2nd floor duplex unit for rent downtown Oconomowoc,,"301-399 E Wisconsin Ave, Oconomowoc, WI 53066, USA",,,,,,,available sep 18,0,False,,/apa/5226279204.html,43.109981,-88.495755
$859,2,2,River Place Apartment Homes,,"2737-2799 W Silver Spring Dr, Milwaukee, WI 53209, USA",,,,,,,available oct 23,1005ft2,False,,/apa/5235752021.html,43.1188,-87.9478
$1050,4,1.5,1002 S 2nd Street - Historic 4 Bedroom Home,1002 S 2nd Street Milwaukee WI US,"1009 S 2nd St, Milwaukee, WI 53204, USA",,,,,,,available sep 23,0,False,,/apa/5235747829.html,43.020992,-87.912786
$975,2,1,Great 2 Bedroom 1 Bath West Allis Side by Side Duplex for Rent,102nd St at West Grant West Allis WI US,"2159-2235 S 102nd St, West Allis, WI 53227, USA",,,,,,,available sep 01,2000ft2,False,,/apa/5191449490.html,43.004212,-88.039833
$550,2,1,Riverwest 2-Bedroom Basement Unit - AVAILABLE NOW,2636 N Weil St Milwaukee WI US,"208-220 E Locust St, Milwaukee, WI 53212, USA",17822,21631,1466,4920,,,available oct 01,0,False,,/apa/5235745926.html,43.0712,-87.9084
$975,2,1,Spacious 2 Bedroom 1 Bath Muskego Upper duplex for Rent.,Bellview Dr at Janesville Rd Muskego WI US,"A8, C̫te d'Ivoire",35519,53194,1695,8671,,,available aug 26,850ft2,False,,/apa/5191880066.html,7.316001,-7.317072
$1100,2,1,Large Very Unique 2 Bdrm 1 Bath Upper Duplex for Rent,Layton Blvd at Burnham Milwaukee WI US,"1901-1903 S Layton Blvd, Milwaukee, WI 53215, USA",26262,23823,1425,4827,,,available sep 09,1200ft2,False,,/apa/5214600460.html,43.010314,-87.948085
$700,2,2.5,*View this adorable 2 bedroom 2.5 bathroom place*,,"2241 W Edgerton Ave, Milwaukee, WI 53221, USA",33056,30791,1518,6244,,,available sep 30,1125ft2,False,,/apa/5235617689.html,42.95123,-87.943008
$700,2,1,two bedroom upper near Medical College,8208 w ceter Milwaukee WI US,"2722 N 86th St, Milwaukee, WI 53222, USA",12920,15224,955,4566,,,available oct 01,0,False,,/apa/5232010252.html,43.068323,-88.019629
$699,2,1.5,Fallin' into fun! Indoor Pool & free Heat! Available Nov. 11th!,Ohio St at Graceland Blvd Mount Pleasant WI US,"4907-4909 Graceland Blvd, Mt Pleasant, WI 53406, USA",,,,,,,available nov 11,950ft2,False,,/apa/5206144380.html,42.726177,-87.838869
$600,2,1,Riverwest 2-Bedroom on Weil Street - AVAILABLE NOW,2324 N Weil St Milwaukee WI US,"2317-2319 N Weil St, Milwaukee, WI 53212, USA",,,,,,,available oct 01,0,False,,/apa/5232262937.html,43.060653,-87.899384
$699,2,1.5,No need to bundle up! We have Free Heat & an Indoor Pool! December 5,Graceland Blvd at Green bay Rd Mount Pleasant WI US,"4919 Graceland Blvd, Mt Pleasant, WI 53406, USA",,,,,,,available dec 05,950ft2,False,,/apa/5232219756.html,42.725961,-87.839307
$1010,2,1,Two Bedroom w. Fireplace!,107th St at Good Hope Rd Milwaukee WI US,"10165-10549 W Fountain Ave, Milwaukee, WI 53224, USA",666,666,105,514,,,available sep 23,0,False,,/apa/5235707169.html,43.15714,-88.040271
$745,2,1,Gorgeous 2BR w/ Central Air,,"Carl Ross Dr, Menomonee Falls, WI 53051, USA",8482,24773,661,6240,,,available sep 25,0,False,,/apa/5235599064.html,43.1602,-88.1128
$650,2,1,2 bedroom upper great location w/d in unit West Bend,303 HumarStreet West Bend WI US,"137 S 7th Ave, West Bend, WI 53095, USA",33727,75903,1451,8650,,,available oct 12,1100ft2,False,,/apa/5235687977.html,43.4224,-88.1845
$810,2,2,"HEAT, 2 Car Heated Pkg, Water/Sewer, Patio/Bal, A/C, Jackson Park Area",South 43rd Street at Lincoln Avenue Milwaukee WI US,"1210 Miller Park Way, West Milwaukee, WI 53214, USA",24891,26267,1398,6387,,,available oct 16,1100ft2,False,,/apa/5235685173.html,43.019014,-87.967886
$1070,3,1.5,owner,,,,,,,,,available nov 01,0,False,,/apa/5235682217.html,0,0
$650,2,1,2 bedroom apt great location w/d in unit UpperWest Bend,313 Humar Street West Bend WI US,"318 Humar St, West Bend, WI 53095, USA",33703,75879,1448,8632,,,available oct 17,1000ft2,False,,/apa/5227636427.html,43.393957,-88.179686
$650,2,1,2bedroom upper quiet washer dryer garage West Bend,313 Humar Street West Bend WI US,"318 Humar St, West Bend, WI 53095, USA",33703,75879,1448,8632,,,available oct 17,1100ft2,False,,/apa/5227628061.html,43.393957,-88.179686
$587,2,0,936 W Pierce,,"1529 W Orchard St, Milwaukee, WI 53204, USA",,,,,,,available sep 09,0,False,,/apa/5214041480.html,43.0158,-87.9317
$527,2,0,120A W Kassner,,"1529 W Orchard St, Milwaukee, WI 53204, USA",,,,,,,available sep 23,0,False,,/apa/5235675965.html,43.0158,-87.9317
$905,2,2,"Move in by Friday! Huge 2 bed, 2 bath in Awesome Location!",11200 W Cleveland Ave West Allis WI US,"2723 S 99th St, West Allis, WI 53227, USA",,,,,,,available sep 21,1080ft2,False,,/apa/5212359382.html,42.9949,-88.0364
$1000,5,2,Large 5 bedroom plus Home,27th at Garfield Milwaukee WI US,"2201-2211 N 27th St, Milwaukee, WI 53208, USA",15111,18355,1229,4287,,,available sep 18,22000ft2,False,,/apa/5227193945.html,43.059212,-87.947586
$875,3,1.5,3 bedroom 1.5 bath townhome,,"9805-9899 W Sheridan Ave, Milwaukee, WI 53225, USA",5735,7527,551,3177,,,available sep 25,0,False,,/apa/5235632526.html,43.1154,-88.0346
$685,2,1,RiverEast Apartments,River Rd at Kilbourn West Bend WI US,"505 S River Rd, West Bend, WI 53095, USA",37912,79251,1686,8391,,,available oct 01,1000ft2,False,,/apa/5235649981.html,43.416676,-88.16112
$995,3,2,New 3-Bedroom Manufactured Home for Rent,Hilltop Drive at Mequon Rd Germantown WI US,"10563 Hilltop Dr, Germantown, WI 53022, USA",14295,28225,781,6586,,,available nov 01,1100ft2,False,,/apa/5235648161.html,43.221254,-88.162188
$875,4,2,Rent to Own - Act fast - four BR,,,,,,,,,available sep 23,1975ft2,False,,/apa/5235496821.html,0,0
$1000,3,1,Classic Milwaukee Bungalow - 3BR 1BA,2402 N 54th Street at Meinecke Milwaukee WI US,"5300-5398 W Meinecke Ave, Milwaukee, WI 53210, USA",13294,17296,970,4228,,,available oct 30,1400ft2,False,,/apa/5235640917.html,43.06257,-87.980812
$710,2,1,"Large 2BR w/ HEAT, dining room",Appleton Ave at Carmen St Milwaukee WI US,"10545-10559 US-41, Milwaukee, WI 53225, USA",5717,5780,462,2818,,,available sep 25,0,False,,/apa/5235622423.html,43.127009,-88.045389
$770,2,1,"2 BR UPPER DUPLEX, FREE SEPT. RENT!! W/ GARAGE, TOTALLY REMODELED!",2151 S 66TH STREET at BELOIT RD WEST ALLIS WI US,"2147-2151 S 66th St, West Allis, WI 53219, USA",,,,,,,available sep 22,895ft2,False,,/apa/5235636235.html,43.005743,-87.994486
$660,2,1,"Large 2 BR w/ Appliances, Huge Walk-In Closet in MBR",,,,,,,,,available sep 25,900ft2,False,,/apa/5235625991.html,0,0
$850,2,1.5,2 & 3 Bedroom Townhome with HEAT,,"10545-10559 US-41, Milwaukee, WI 53225, USA",,,,,,,available sep 25,0,False,,/apa/5235624982.html,43.127009,-88.045389
$610,2,1,FIRST MONTH FREE,,"8092 Co Hwy Es, East Troy, WI 53120, USA",,,,,,,available sep 01,800ft2,False,,/apa/5235616012.html,42.784331,-88.415458
$655,2,1,2BR with Full Size Washer/Dryer in Unit,,"Park St, Jackson, WI 53037, USA",,,,,,,available sep 25,0,False,,/apa/5235598171.html,43.3252,-88.1626
$995,2,2,Leaves Aren't the Only Thing Falling at Presidio Square ~ Rent 4 $995!,5401 W Presidio Lane Milwaukee WI US,"7101-7199 N Presidio Dr, Milwaukee, WI 53223, USA",7032,15897,549,4472,,,available sep 23,1100ft2,False,,/apa/5235603155.html,43.147222,-87.978846
$610,2,1,Cute and Cozy 2 bedrooms,,"3800 W Good Hope Rd, Milwaukee, WI 53209, USA",8582,16912,607,6510,,,available sep 25,0,False,,/apa/5235570111.html,43.148709,-87.959579
$575,2,1,"COME SEE! NICE 2 BR, $575, SPACIOUS, PARKING, MUST SEE, WILL GO FAST",,"6526-6528 W Villard Ave, Milwaukee, WI 53218, USA",7826,11006,474,2699,,,available sep 23,0,False,,/apa/5235607247.html,43.1122,-87.9932
$795,2,1,2BR in Germantown with A/C **1/2 OFF FIRST MONTHS RENT**,,"W167N11110 Queens Ct, Colgate, WI 53017, USA",11099,30992,804,7184,,,available sep 25,0,False,,/apa/5235563546.html,43.2189,-88.1165
$735,3,1,3 bedroom duplex **1/2 OFF 1ST MONTHS RENT**,71st at Silver Spring Dr Milwaukee WI US,"708 N Milwaukee St, Milwaukee, WI 53202, USA",8019,10307,524,2649,,,available sep 25,0,False,,/apa/5235573619.html,43.0389,-87.90647
$750,2,2,Large 2 br 2 bath Condo,,"7659-7677 N 60th St, Milwaukee, WI 53223, USA",,,,,,,available oct 01,1000ft2,False,,/apa/5235598233.html,43.157485,-87.98564
$550,2,1,"HERE YOU GO, ITs A SPACIOUS 2 BR UPR $550, WITH DINING, MUST SEE THIS",,"208-220 E Locust St, Milwaukee, WI 53212, USA",,,,,,,available sep 23,0,False,,/apa/5235597840.html,43.0712,-87.9084
$645,2,1,Gorgeous 2 bedroom unit in Jackson,Chestnut Crt at Ridgeway Dr Jackson WI US,,,,,,,,available sep 25,0,False,,/apa/5235572580.html,16.919869,-16.919801
$750,2,1,Good apartment,Greenfiel West Allis WI US,"903 S 84th St, West Allis, WI 53214, USA",,,,,,,available sep 18,0,False,,/apa/5228101472.html,43.0215,-88.0176
$575,2,1,"NICE 2 BR APARTMENT 4, SPACIOUS, WITH PARKING $575, READY NOW!!!!!",,"6526-6528 W Villard Ave, Milwaukee, WI 53218, USA",,,,,,,available sep 23,0,False,,/apa/5235591405.html,43.1122,-87.9932
$650,2,1,2 bedroom in quiet 4 family building **$100.00 OFF FIRST MONTHS RENT**,,"8832 W Silver Spring Dr, Milwaukee, WI 53225, USA",6195,6795,521,2594,,,available sep 25,800ft2,False,,/apa/5235574917.html,43.119572,-88.022982
$850,3,1,Beautiful*Clean*Lower 3 Bedroom Duplex Wauwatosa Area,,"5915 W Dixon St, Milwaukee, WI 53214, USA",21106,26405,1080,6324,,,available nov 01,1000ft2,False,,/apa/5219025792.html,43.029593,-87.986929
$575,2,1,Quiet neighborhood,70th West Allis WI US,"903 S 84th St, West Allis, WI 53214, USA",21451,32479,1251,6551,,,available oct 01,650ft2,False,,/apa/5227978478.html,43.0215,-88.0176
$875,3,1,BREWER HILL LARGE UPPER,,"208-220 E Locust St, Milwaukee, WI 53212, USA",16754,21144,1324,5003,,,available oct 15,1500ft2,False,,/apa/5206777921.html,43.0712,-87.9084
$900,5,2,Single House,26th Milwaukee WI US,"1812-1866 W Hopkins St, Milwaukee, WI 53206, USA",13747,17451,1077,4162,,,available sep 18,1769ft2,False,,/apa/5228146811.html,43.0753,-87.9347
$600,2,1,"2 BEDROOM UPPER, WITH DINING, PARKING FOR ONLY $600, MUST SEE.. READY",,"2725 N 46th St, Milwaukee, WI 53210, USA",,,,,,,available sep 23,0,False,,/apa/5235585106.html,43.0685,-87.9715
$650,2,1,"WOW!! 2 BR WITH DINING AND PARKING, VERY SPACIOUS, $650, A MUST SEE.",,"2725 N 46th St, Milwaukee, WI 53210, USA",,,,,,,available sep 23,0,False,,/apa/5235578172.html,43.0685,-87.9715
$975,3,1,House for rent with detached garage,229 Grove St Mayville WI US,"212 Grove St, Mayville, WI 53050, USA",,,,,,,available nov 01,0,False,,/apa/5231336872.html,43.4979,-88.551334
$600,2,2,"2 BEDROOM UPPER, WITH DINING, PARKING FOR ONLY $600, MUST SEE.. READY",,"6526-6528 W Villard Ave, Milwaukee, WI 53218, USA",,,,,,,available sep 23,0,False,,/apa/5235566582.html,43.1122,-87.9932
$925,2,1,Remodeled Tosa 2 bedroom with Charm,2440 N 60th Milwaukee WI US,"2440 N 60th St, Milwaukee, WI 53210, USA",,,,,,,available oct 01,1150ft2,False,,/apa/5231265629.html,43.063406,-87.987428
$699,2,1.5,Come be impressed! 2 Br. includes heat & indoor pool! Avail. Nov 6th!,Graceland Blvd at Ohio St Mt Peasant WI US,"4919 Graceland Blvd, Mt Pleasant, WI 53406, USA",,,,,,,available nov 06,950ft2,False,,/apa/5191739389.html,42.725961,-87.839307
$800,2,1,3875 S. Clement Ave. #7 Available November 1st,S Clement Ave at E Howard Ave Milwaukee WI US,"3875 S Clement Ave, Milwaukee, WI 53207, USA",34205,31676,1667,6964,,,available nov 01,800ft2,False,,/apa/5224530460.html,42.973915,-87.894573
$750,3,1,3 BEDROOM UPPER/LOWER Past Eviction Accepted,,,,,,,,,available sep 25,1151ft2,False,,/apa/5218957206.html,0,0
$925,3,1.5,3 Bedroom Upper Duplex,Brentwood at Landers Milwaukee WI US,"7201 W Brentwood Ave, Milwaukee, WI 53223, USA",6953,7633,547,2170,,,available sep 15,0,False,,/apa/5231514166.html,43.13501,-88.001088
$645,2,1,Good Hope - 2BR,,"5816 W Green Tree Rd, Milwaukee, WI 53223, USA",7356,9587,555,3112,,,available sep 23,0,False,,/apa/5235517091.html,43.141689,-87.985017
$1095,2,1,"Avail Oct or Nov 1st - Includes Cable, Internet, Heat, Water & Gas",,"2595 N Cramer St, Milwaukee, WI 53211, USA",19123,23802,1634,5706,,,available oct 01,0,False,,/apa/5235512294.html,43.065789,-87.887011
$1000,2,1,East Tosa - 2BR Wauwatosa,North Ave at 66th Wauwatosa WI US,"2300-2304 N 66th St, Wauwatosa, WI 53213, USA",13911,17578,1032,4335,,,available oct 01,1000ft2,False,,/apa/5226600063.html,43.060812,-87.994887
$740,2,1,"Complete Remodel w/Dishwasher, Walk-in closets & Cable Incl.",Granville Road at Heather Ave Milwaukee WI US,"8649 N Granville Rd, Milwaukee, WI 53224, USA",,,,,,,available sep 24,988ft2,False,,/apa/5235507681.html,43.175123,-88.042781
